"RECTY","CLID","INTCA","ORDNO","IOPER","INFTY","Pay Code Code","BEGDA","ENDDA","OBJPS","SPRPS","SEQNR","EXTRA","Pay Code Code","STDAZ","BEGUZ","ENDUZ","BETRG","WAERS","Pay Code Hours","ZEINH","VTKEN","BWGRL","AUFKZ","ENDOP","UFLD1","UFLD2","UFLD3","KEYPR","TRFST","PRAKN","PRAKZ","OTYPE","PLANS","VERSL","EXBEL","WTART","TDLANGU","TDSUBLA","TDTYPE","Actual Employee ID"
"P2010","1553592","","","INS","2010","1010","5 January 2022","5 January 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","1010","6 January 2022","6 January 2022","","","","","1010","","","","","","8.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","1010","7 January 2022","7 January 2022","","","","","1010","","","","","","8.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","1010","17 January 2022","17 January 2022","","","","","1010","","","","","","10.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","1010","18 January 2022","18 January 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","1010","19 January 2022","19 January 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","1010","20 January 2022","20 January 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","1010","21 January 2022","21 January 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","1010","24 January 2022","24 January 2022","","","","","1010","","","","","","10.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","1010","25 January 2022","25 January 2022","","","","","1010","","","","","","10.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","1010","27 January 2022","27 January 2022","","","","","1010","","","","","","10.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","1010","28 January 2022","28 January 2022","","","","","1010","","","","","","10.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","2301","10 January 2022","10 January 2022","","","","","2301","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","2301","11 January 2022","11 January 2022","","","","","2301","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","2301","12 January 2022","12 January 2022","","","","","2301","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","2301","13 January 2022","13 January 2022","","","","","2301","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","2511","6 January 2022","6 January 2022","","","","","2511","","","","","","1.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","2511","7 January 2022","7 January 2022","","","","","2511","","","","","","1.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","2514","17 January 2022","17 January 2022","","","","","2514","","","","","","1.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","2514","18 January 2022","18 January 2022","","","","","2514","","","","","","1.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","IND_Holiday","14 January 2022","14 January 2022","","","","","IND_Holiday","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","IND_RES_TO","26 January 2022","26 January 2022","","","","","IND_RES_TO","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1554477","","","INS","2010","1010","3 January 2022","3 January 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1554477","","","INS","2010","1010","4 January 2022","4 January 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1554477","","","INS","2010","1010","5 January 2022","5 January 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1554477","","","INS","2010","1010","6 January 2022","6 January 2022","","","","","1010","","","","","","4.50","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1554477","","","INS","2010","1010","7 January 2022","7 January 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1554477","","","INS","2010","1010","17 January 2022","17 January 2022","","","","","1010","","","","","","4.50","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1554477","","","INS","2010","1010","18 January 2022","18 January 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1554477","","","INS","2010","1010","19 January 2022","19 January 2022","","","","","1010","","","","","","16.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1554477","","","INS","2010","1010","20 January 2022","20 January 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1554477","","","INS","2010","1010","21 January 2022","21 January 2022","","","","","1010","","","","","","8.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1554477","","","INS","2010","2512","21 January 2022","21 January 2022","","","","","2512","","","","","","1.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1554477","","","INS","2010","2513","12 January 2022","12 January 2022","","","","","2513","","","","","","1.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1554477","","","INS","2010","2514","7 January 2022","7 January 2022","","","","","2514","","","","","","1.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1554477","","","INS","2010","IND_Holiday","14 January 2022","14 January 2022","","","","","IND_Holiday","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1554477","","","INS","2010","IND_Holiday","17 January 2022","17 January 2022","","","","","IND_Holiday","","","","","","4.50","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1554477","","","INS","2010","IND_SCK_CSL_TO","6 January 2022","6 January 2022","","","","","IND_SCK_CSL_TO","","","","","","4.50","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","28 March 2022","28 March 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","29 March 2022","29 March 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","30 March 2022","30 March 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","31 March 2022","31 March 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","1 April 2022","1 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","4 April 2022","4 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","5 April 2022","5 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","6 April 2022","6 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","7 April 2022","7 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","8 April 2022","8 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","11 April 2022","11 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","12 April 2022","12 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","13 April 2022","13 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","18 April 2022","18 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","19 April 2022","19 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","20 April 2022","20 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","21 April 2022","21 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","21830199","","","INS","2010","1010","22 April 2022","22 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","23111234","","","INS","2010","1010","24 January 2022","24 January 2022","","","","","1010","","","","","","8.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","23111234","","","INS","2010","1010","25 January 2022","25 January 2022","","","","","1010","","","","","","8.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","60078118","","","INS","2010","1010","4 April 2022","4 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","60078118","","","INS","2010","1010","5 April 2022","5 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","60078118","","","INS","2010","1010","6 April 2022","6 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","60078118","","","INS","2010","1010","7 April 2022","7 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","60078118","","","INS","2010","1010","8 April 2022","8 April 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","QATesting123","","","INS","2010","1010","17 January 2022","17 January 2022","","","","","1010","","","","","","8.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","QATesting123","","","INS","2010","1010","18 January 2022","18 January 2022","","","","","1010","","","","","","8.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","QATesting123","","","INS","2010","1010","19 January 2022","19 January 2022","","","","","1010","","","","","","8.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","QATesting123","","","INS","2010","1010","20 January 2022","20 January 2022","","","","","1010","","","","","","8.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","QATesting123","","","INS","2010","1010","21 January 2022","21 January 2022","","","","","1010","","","","","","8.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","QATesting123","","","INS","2010","COMP_TO","22 January 2022","22 January 2022","","","","","COMP_TO","","","","","","1.00","001","","","","","","","","","","","","","","","","","","","",""
